x,y,theta,speed,lookahead_distance,p_gain,i_gain,path_p_gain,path_i_gain,distance_threshold,angle_threshold
-2.924,2.601183673469388,-2.8373393110124034,1.1946879373291952,0.26773359191508206,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.59465306122449,-2.8302636518826967,1.2712100569207305,0.2761749507381939,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.588122448979592,-2.82318799275299,1.3369886133668376,0.2832301481163512,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.5815918367346944,-2.816112333623283,1.385982028862513,0.28837288660994254,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.5750612244897964,-2.8090366744935764,1.417048312214232,0.29158686310061005,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.5685306122448983,-2.8019610153638697,1.43280158561929,0.2932031635865435,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.5620000000000003,-2.794885356234163,1.4375509747765458,0.29368871017897974,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.5620000000000003,-2.787809697104456,1.4354945846439442,0.2934785768648823,2.0,1.0,-inf,0.05,0.0,0.0
-2.9240120712521733,2.5588783370468535,-2.7807340379747494,1.4297706041646518,0.29289287504116435,2.0,1.0,-inf,0.05,0.0,0.0
-2.924047954289457,2.5556391646309113,-2.7736583788450426,1.4223118315409444,0.2921278998871156,2.0,1.0,-inf,0.05,0.0,0.0
-2.9241071530329945,2.5522875339480304,-2.766582719715336,1.4141293854282762,0.2912863936501267,2.0,1.0,-inf,0.05,0.0,0.0
-2.9241891714039276,2.548828496194068,-2.759507060585629,1.4056798364877758,0.29041485876116346,2.0,1.0,-inf,0.05,0.0,0.0
-2.924293513323402,2.5452671025648814,-2.7524314014559224,1.3971428571428572,0.28953164149807775,2.0,1.0,-inf,0.05,0.0,0.0
-2.92441968271256,2.541608404256329,-2.7453557423262156,1.3885714285714288,0.2886421412654184,2.0,1.0,-inf,0.05,0.0,0.0
-2.9245671834925466,2.5378574524642676,-2.738280083196509,1.3800000000000001,0.28774989139876317,2.0,1.0,-inf,0.05,0.0,0.0
-2.9247355195845035,2.5340192983845538,-2.731204424066802,1.3714285714285714,0.28685486624025447,2.0,1.0,-inf,0.05,0.0,0.0
-2.924924194909574,2.5300989932130467,-2.7241287649370953,1.362857142857143,0.2859570397304962,2.0,1.0,-inf,0.05,0.0,0.0
-2.925132713388904,2.5261015881456017,-2.7170531058073886,1.3542857142857145,0.285056385399701,2.0,1.0,-inf,0.05,0.0,0.0
-2.925360578943635,2.522032134378078,-2.709977446677682,1.3457142857142856,0.2841528763585847,2.0,1.0,-inf,0.05,0.0,0.0
-2.9256072954949124,2.5178956831063313,-2.702901787547975,1.3371428571428572,0.28324648528899954,2.0,1.0,-inf,0.05,0.0,0.0
-2.925872366963877,2.513697285526221,-2.6958261284182687,1.3285714285714287,0.28233718443429606,2.0,1.0,-inf,0.05,0.0,0.0
-2.9261552972716753,2.5094419928336027,-2.688750469288562,1.3199999999999998,0.28142494558940573,2.0,1.0,-inf,0.05,0.0,0.0
-2.9264555903394496,2.505134856224335,-2.6816748101588552,1.3114285714285716,0.2805097400906327,2.0,1.0,-inf,0.05,0.0,0.0
-2.9267727500883427,2.500780926894275,-2.6745991510291485,1.3028571428571432,0.2795915388051444,2.0,1.0,-inf,0.05,0.0,0.0
-2.927106280439499,2.496385256039279,-2.6675234918994417,1.2942857142857143,0.27867031212015186,2.0,1.0,-inf,0.05,0.0,0.0
-2.927455685314061,2.4919528948552054,-2.660447832769735,1.2857142857142858,0.27774602993176545,2.0,1.0,-inf,0.05,0.0,0.0
-2.927820468633174,2.487488894537912,-2.653372173640028,1.2771428571428571,0.2768186616335167,2.0,1.0,-inf,0.05,0.0,0.0
-2.9282001343179798,2.482998306283255,-2.6462965145103214,1.2685714285714287,0.2758881761045328,2.0,1.0,-inf,0.05,0.0,0.0
-2.9285941862896236,2.478486181287093,-2.6392208553806147,1.2600000000000002,0.2749545416973504,2.0,1.0,-inf,0.05,0.0,0.0
-2.9290021284692487,2.473957570745284,-2.632145196250908,1.2514285714285716,0.27401772622535625,2.0,1.0,-inf,0.05,0.0,0.0
-2.9294234647779973,2.469417525853683,-2.625069537121201,1.2428571428571429,0.27307769694983985,2.0,1.0,-inf,0.05,0.0,0.0
-2.9298576991370138,2.464871097808149,-2.6179938779914944,1.2342857142857144,0.2721344205666436,2.0,1.0,-inf,0.05,0.0,0.0
-2.9303043354674414,2.4603233378045393,-2.6179938779914944,1.2257142857142858,0.27118786319239496,2.0,1.0,-inf,0.05,0.0,0.0
-2.930762877690424,2.4557792970387102,-2.60730818869357,1.2171428571428573,0.2702379903503048,2.0,1.0,-inf,0.05,0.0,0.0
-2.9312328297271053,2.4512440267065214,-2.5966224993956453,1.2085714285714286,0.26928476695551445,2.0,1.0,-inf,0.05,0.0,0.0
-2.9317136954986287,2.446722578003828,-2.585936810097721,1.2000000000000002,0.2683281572999748,2.0,1.0,-inf,0.05,0.0,0.0
-2.932204978926137,2.4422200021264886,-2.5752511207997966,1.1914285714285715,0.2673681250368381,2.0,1.0,-inf,0.05,0.0,0.0
-2.932706183930775,2.4377413502703598,-2.564565431501872,1.1828571428571428,0.26640463316434376,2.0,1.0,-inf,0.05,0.0,0.0
-2.9332168144336856,2.4332916736312997,-2.5538797422039474,1.1742857142857144,0.2654376440091775,2.0,1.0,-inf,0.05,0.0,0.0
-2.933736374356012,2.4288760234051656,-2.5431940529060233,1.165714285714286,0.26446711920928306,2.0,1.0,-inf,0.05,0.0,0.0
