x,y,theta,speed,lookahead_distance,p_gain,i_gain,angle_threshold
-1.562,-2.83344684612704,-1.7241022746052093,0.5000162598337895,0.10000162597016005,1.0,0.0,0.0
-1.5620000000000003,-2.83125430730393,-1.7264608276484448,0.5000631389890821,0.10000631369959419,1.0,0.0,0.0
-1.562,-2.8290400938384526,-1.7288193806916805,0.5002063654125312,0.10002063441235826,1.0,0.0,0.0
-1.562,-2.8268067556885317,-1.731177933734916,0.5005973377016525,0.10005971594019769,1.0,0.0,0.0
-1.562,-2.8245568428120937,-1.7335364867781515,0.5015583672547536,0.10015571548890795,1.0,0.0,0.0
-1.5619999999999998,-2.822292905167065,-1.7358950398213873,0.5036931468203021,0.10036863522239425,1.0,0.0,0.0
-1.562,-2.8200174927113704,-1.7382535928646228,0.507990534326342,0.1007958862579562,1.0,0.0,0.0
-1.5620000000000003,-2.8177331554029363,-1.7406121459078583,0.5158534595440549,0.10157297470725715,1.0,0.0,0.0
-1.562,-2.815442443199687,-1.742970698951094,0.5289767673638628,0.10285686825524709,1.0,0.0,0.0
-1.562,-2.8131479060595503,-1.7453292519943295,0.5490447943593604,0.10478976995483485,1.0,0.0,0.0
-1.562,-2.8108520939404507,-1.7453292519943295,0.577317037667487,0.10745390059625448,1.0,0.0,0.0
-1.5619999999999998,-2.808557556800313,-1.7435483037780088,0.6142621856637083,0.11083881862088825,1.0,0.021739130434782608,0.0
-1.562,-2.8062668445970647,-1.741767355561688,0.6594115499725584,0.11484002350857983,1.0,0.043478260869565216,0.0
-1.562,-2.8039825072886306,-1.7399864073453672,0.7115056334570984,0.11929003591726331,1.0,0.06521739130434782,0.0
-1.5620000000000003,-2.8017070948329357,-1.7382054591290466,0.7688600995437334,0.12400484664268033,1.0,0.08695652173913043,0.0
-1.5619999999999998,-2.799443157187907,-1.7364245109127259,0.8297801033420412,0.1288239188460001,1.0,0.10869565217391304,0.0
-1.562,-2.7971932443114698,-1.734643562696405,0.8928627150808405,0.13363103794260078,1.0,0.13043478260869565,0.0
-1.562,-2.7949599061615484,-1.7328626144800843,0.9571190768320873,0.13835599566568033,1.0,0.15217391304347827,0.0
-1.5619999999999998,-2.7927456926960708,-1.7310816662637636,1.0219454958473138,0.1429647156362236,1.0,0.17391304347826086,0.0
-1.5620000000000003,-2.7905531538729615,-1.729300718047443,1.0870196607282123,0.14744623838729914,1.0,0.19565217391304346,0.0
-1.5620000000000003,-2.7883848396501465,-1.727519769831122,1.1521901728772677,0.15180185590942344,1.0,0.21739130434782608,0.0
-1.5620000000000003,-2.786243299985551,-1.7257388216148013,1.2173942137832245,0.15603808597795762,1.0,0.2391304347826087,0.0
-1.562,-2.784131084837101,-1.7239578733984806,1.2826057862167757,0.1601627788355819,1.0,0.2608695652173913,0.0
-1.562,-2.7820507441627216,-1.72217692518216,1.3478083704258255,0.16418333474660732,1.0,0.2826086956521739,0.0
-1.562,-2.78000482792034,-1.720395976965839,1.4129721982937815,0.16810545489625145,1.0,0.30434782608695654,0.0
-1.562,-2.77799588606788,-1.7186150287495183,1.478022891706452,0.1719315498508899,1.0,0.32608695652173914,0.0
-1.5620000000000003,-2.776026468563269,-1.7168340805331976,1.542777600077013,0.1756574849004171,1.0,0.34782608695652173,0.0
-1.5620000000000003,-2.7740991253644323,-1.715053132316877,1.6068382097161553,0.17926729817321146,1.0,0.3695652173913043,0.0
-1.562,-2.772216406429294,-1.713272184100556,1.6694396529168032,0.18272600542434037,1.0,0.3913043478260869,0.0
-1.562,-2.770380861715782,-1.7114912358842354,1.72929081470134,0.18597262243143964,1.0,0.41304347826086957,0.0
-1.562,-2.768595041181821,-1.7097102876679147,1.7844936636420936,0.18891763621441454,1.0,0.43478260869565216,0.0
-1.562,-2.7668614947853367,-1.707929339451594,1.832650935589058,0.191449781174545,1.0,0.45652173913043476,0.0
-1.562,-2.7651827724842546,-1.706148391235273,1.8712297185677182,0.19345437284112854,1.0,0.4782608695652174,0.0
-1.562,-2.7635614242365003,-1.7043674430189524,1.8981272013471462,0.19483979066644197,1.0,0.5,0.0
-1.562,-2.7620000000000005,-1.7025864948026317,1.9122440901826325,0.19556298679364828,1.0,0.5,0.0
-1.562,-2.7620000000000005,-1.700805546586311,1.9138144104262809,0.19564326773115814,1.0,0.5,0.0
-1.562,-2.7604693877551023,-1.69902459836999,1.904332322238392,0.1951580037937667,1.0,0.5,0.0
-1.562,-2.7589387755102046,-1.6972436501536694,1.8861127675618048,0.19422218037916295,1.0,0.5,0.0
-1.562,-2.7574081632653065,-1.6954627019373487,1.861693905380931,0.19296082013615776,1.0,0.5,0.0
-1.562,-2.7558775510204088,-1.693681753721028,1.8333272408678707,0.1914851033823713,1.0,0.5,0.0
-1.562,-2.7543469387755106,-1.6919008055047071,1.8027040512102532,0.18987912213880986,1.0,0.5,0.0
-1.562,-2.7528163265306125,-1.6901198572883864,1.770923130813036,0.18819793467586388,1.0,0.5,0.0
-1.562,-2.751285714285715,-1.6883389090720657,1.7386090481240999,0.18647300330740105,1.0,0.5,0.0
-1.562,-2.7497551020408166,-1.686557960855745,1.7060745766995684,0.1847200355510776,1.0,0.5,0.0
-1.562,-2.7482244897959185,-1.6847770126394241,1.673458337341698,0.18294580275817743,1.0,0.5,0.0
-1.562,-2.746693877551021,-1.6829960644231035,1.6408148698337053,0.18115269083475993,1.0,0.5,0.0
-1.562,-2.7451632653061226,-1.6812151162067828,1.6081632653061226,0.17934119801685963,1.0,0.5,0.0
-1.562,-2.743632653061225,-1.679434167990462,1.5755102040816327,0.17751113790867507,1.0,0.5,0.0
-1.562,-2.742102040816327,-1.6776532197741412,1.542857142857143,0.17566201313073598,1.0,0.5,0.0
-1.562,-2.7405714285714287,-1.6758722715578205,1.5102040816326532,0.17379321515137772,1.0,0.5,0.0
-1.562,-2.739040816326531,-1.6740913233414998,1.4775510204081632,0.17190410235990083,1.0,0.5,0.0
-1.562,-2.737510204081633,-1.672310375125179,1.4448979591836735,0.16999399749306876,1.0,0.5,0.0
-1.562,-2.735979591836735,-1.6705294269088582,1.4122448979591835,0.16806218479831705,1.0,0.5,0.0
-1.562,-2.734448979591837,-1.6687484786925375,1.379591836734694,0.1661079068999844,1.0,0.5,0.0
-1.562,-2.732918367346939,-1.6669675304762168,1.346938775510204,0.16413036132965797,1.0,0.5,0.0
-1.562,-2.731387755102041,-1.6651865822598961,1.314285714285714,0.16212869667555552,1.0,0.5,0.0
-1.562,-2.729857142857143,-1.6634056340435752,1.2816326530612243,0.160102008298536,1.0,0.5,0.0
-1.562,-2.7283265306122453,-1.6616246858272545,1.2489795918367346,0.15804933355359235,1.0,0.5,0.0
-1.562,-2.726795918367347,-1.6598437376109338,1.2163265306122448,0.1559696464452135,1.0,0.5,0.0
-1.562,-2.725265306122449,-1.658062789394613,1.183673469387755,0.1538618516324144,1.0,0.5,0.0
-1.562,-2.7237346938775513,-1.6562818411782922,1.1510204081632653,0.15172477768402004,1.0,0.5,0.0
-1.562,-2.722204081632653,-1.6545008929619716,1.1183673469387754,0.14955716946631314,1.0,0.5,0.0
-1.562,-2.720673469387755,-1.6527199447456509,1.0857142857142859,0.14735767952260145,1.0,0.5,0.0
-1.562,-2.7191428571428573,-1.6509389965293302,1.0530612244897957,0.1451248582765748,1.0,0.5,0.0
-1.562,-2.717612244897959,-1.6491580483130093,1.020408163265306,0.14285714285714285,1.0,0.5,0.0
-1.562,-2.7160816326530615,-1.6473771000966886,0.9877551020408162,0.1405528442999868,1.0,0.5,0.0
-1.562,-2.7145510204081633,-1.645596151880368,0.9551020408163264,0.13821013282797515,1.0,0.5,0.0
-1.562,-2.713020408163265,-1.643815203664047,0.9224489795918367,0.13582702084576814,1.0,0.5,0.0
-1.562,-2.7114897959183675,-1.6420342554477263,0.8897959183673468,0.13340134319918573,1.0,0.5,0.0
-1.562,-2.7099591836734693,-1.6402533072314056,0.857142857142857,0.13093073414159542,1.0,0.5,0.0
-1.562,-2.7084285714285716,-1.638472359015085,0.8244897959183674,0.12841260030996704,1.0,0.5,0.0
-1.562,-2.7068979591836735,-1.636691410798764,0.7918367346938775,0.1258440888316871,1.0,0.5,0.0
-1.562,-2.7053673469387753,-1.6349104625824433,0.7591851301662944,0.12322216766201562,1.0,0.5,0.0
-1.562,-2.7038367346938776,-1.6331295143661226,0.726538753222904,0.1205436645554551,1.0,0.5,0.0
-1.562,-2.7023061224489795,-1.631348566149802,0.6939091634666422,0.11780570134476874,1.0,0.5,0.0
-1.562,-2.700775510204082,-1.629567617933481,0.6613278128868183,0.11500676613893797,1.0,0.5,0.0
-1.562,-2.6992448979591837,-1.6277866697171604,0.6288705037744327,0.11214905294066756,1.0,0.5,0.0
-1.562,-2.6977142857142855,-1.6260057215008397,0.5966986110880942,0.1092427215962779,1.0,0.5,0.0
-1.562,-2.696183673469388,-1.624224773284519,0.5651143918773757,0.10631221866534211,1.0,0.5,0.0
